X,Y,name,type,group,county,note,website,address,point_x,point_y,source,link_id,cms_link,filename
-122.596162757804876,37.873654381244833,Slide Ranch,Site of Interest,Muir Beach,Marin,,http://www.slideranch.org/,,-122.59616275800,37.87365438120,"Updated Sara Solomon, 4/17/2013",0,505,SlideRan505.html
-122.596950670936536,37.874306965294295,Parking,Parking Lot,Muir Beach,Marin,,,,-122.59695067100,37.87430696530,"M. Norelli, 2/16/2012",0,506,Parking506.html
-122.51962414383901,37.875117641166334,Alta Avenue Fire Road,Trailhead,Oakwood Valley,Marin,,,,-122.51962414400,37.87511764120,from Trails_pts_100ft_20111121,0,507,AltaAven507.html
-122.519561999786319,37.875626000039993,Alta Avenue Meeting Location,Meeting Place,Oakwood Valley,Marin,,,,-122.51956200000,37.87562600000,All Maria and Galena sites,59,508,AltaAven508.html
-122.582604209016836,37.876077402150528,Heather Cutoff Trail,Trailhead,Mount Tamalpais State Park,Marin,,,,-122.58260420900,37.87607740220,from Trails_pts_100ft_20111121,0,509,HeatherC509.html
-122.5546030068232,37.87937032827822,Miwok Trail,Trailhead,Mount Tamalpais State Park,Marin,,,,-122.55460300700,37.87937032830,from Trails_pts_100ft_20111121,0,510,MiwokTra510.html
-122.545814999962133,37.882511000082687,Tam Fire Site,Restoration Site,Tennessee Valley,Marin,,,,-122.54581500000,37.88251100010,HRT work locations,108,511,TamFireS511.html
-122.626647999905117,37.882584999897951,Rocky Point,Park,Mount Tamalpais State Park,Marin,,http://www.parksconservancy.org/visit/park-sites/rocky-point.html,,-122.62664800000,37.88258499990,"Harvested from the GGNPC website, 10/14/2011",9999,512,RockyPoi512.html
-122.621421237300055,37.88276312232037,Rocky Point Trail,Trailhead,Mount Tamalpais State Park,Marin,,,,-122.62142123700,37.88276312230,from Trails_pts_100ft_20111121,0,513,RockyPoi513.html
-122.627262479679572,37.883558750735872,Rocky Point - Steep Ravine Campground,Campground,Mount Tamalpais State Park,Marin,,,,-122.62726248000,37.88355875070,from O:\gis_projects\_Marin\Big Lagoon\Kiosk_Map_20100401\shapefiles_update\POI.shp,0,514,RockyPoi514.html
-122.554619000366372,37.884299999845268,Homestead Vally Planting Site Meeting Location,Meeting Place,Mount Tamalpais State Park,Marin,,,,-122.55461900000,37.88429999980,HRT work locations,116,515,Homestea515.html
-122.55479315497999,37.884932297887381,Dias Ridge Trail,Trailhead,Mount Tamalpais State Park,Marin,,,,-122.55479315500,37.88493229790,from Trails_pts_100ft_20111121,0,516,DiasRidg516.html
-122.568279221109051,37.88617191710042,Redwood Creek Trail,Trailhead,Muir Woods National Monument,Marin,,,,-122.56827922100,37.88617191710,from Trails_pts_100ft_20111121,0,517,RedwoodC517.html
